Project,Project ID,Transient type,Transient Name,RA,Dec,User IDs,Link,Link 2
Snapshot Supernova,1,Supernova,SMTJ13545988-2820020,208.7494583,-28.33386111,"Anne M. Murray, sodasuze",http://www.astronomerstelegram.org/?read=7261,
Snapshot Supernova,1,Supernova,SMTJ10310056-3658262,157.7522917,-36.97394444,"cthomas, monkey_monkey, sweater, joannastar",http://www.astronomerstelegram.org/?read=7261,
Snapshot Supernova,1,Supernova,SMTJ13254308-2932269,201.4294583,-29.54080556,,http://www.astronomerstelegram.org/?read=7254,
Supernova Hunters,2455,Supernova,PTF10ops,326.889875,5.85841667,"Aleksandar, Henryk Krawczyk, ciberjohn, Giovanni Iezzi, Elisabeth Baeten, Sarah Zahorchak, Graham Dungworth, John P Langridge, Marek, Robert Hubbard, Volatile",https://ui.adsabs.harvard.edu/abs/2011MNRAS.412.1309S/abstract,
Supernova Sighting,4124,Supernova,2018bwq,322.29902,-29.16283,"Leigh Burchat, Barb Long, Hayden Roberts, Pip Newling",http://www.astronomerstelegram.org/?read=11667,https://wis-tns.weizmann.ac.il/object/2018bwq
Supernova Sighting,4124,Supernova,2018bwp,201.478224,-37.23668,"Timothy Barnes, Casey Cunningham, Tony Cristiano, Sarah Dean, Robert Edwards, Nicholas East, Karen Franks, Julie Hams, Robert Ian Higgins, Jennifer Hogan, Rusel Last, Mark Longmuir, Andrew McRae, Neil McElhinney, Rosie Miller, Chris Murphy, Christopher Daniel Andrew Quarrell, Gianna ODonnell, Michael Rochler, Hayden Roberts, Lyn Robinson, Stephan Soule, Natalie J. Spillman, Paul Shelmerdine, Robert Vassie, Michael Vickers, Jennifer A Westwood",http://www.astronomerstelegram.org/?read=11671,https://wis-tns.weizmann.ac.il/object/2018bwp
Supernova Hunters,2455,Supernova,2016hqf,338.3444728,-1.357052821,"marisa_gomez, nilium, chrostek",http://www.astronomerstelegram.org/?read=9711,
Supernova Hunters,2455,Supernova,2016dln,323.2963091,0.9398916198,"qbpd, TED91, chrostek",http://www.astronomerstelegram.org/?read=9269,
Supernova Hunters,2455,Supernova,2016els,307.5580199,-10.95050213,"TED91, nilium, voyager1682002",http://www.astronomerstelegram.org/?read=9308,
Supernova Hunters,2455,Supernova,2017dhn,167.8883889,9.072145372,"yuvalszw, nilium, Jose_Campos",http://www.astronomerstelegram.org/?read=10334,
Supernova Hunters,2455,Supernova,2017dhd,170.8313012,5.799905474,"Jose_Campos, Astro_Denny, nilium",http://www.astronomerstelegram.org/?read=10328,
Supernova Hunters,2455,Supernova Impostor,AT2017dha,241.8487868,10.42783037,"peterfoele, nilium, romist",http://www.astronomerstelegram.org/?read=10328,
Supernova Hunters,2455,Supernova,2017dhm,166.7077348,14.48778056,"LonMcGregor, Jose_Campos, MingMing",http://www.astronomerstelegram.org/?read=10331,
Supernova Hunters,2455,Supernova,2017dhp ,178.5598968,11.7612763,"peterfoele, Pinadva, BLGoodwin",http://www.astronomerstelegram.org/?read=10331,
Supernova Sighting,4124,Supernova,2017dxh,194.751167,-26.598,"WEB, deh86, Alan_Craggs",http://www.astronomerstelegram.org/?read=10426,
Supernova Sighting,4124,Supernova,2017edm,204.2549399,-4.618898061,"simonemarcorini, ck12074, MvGulik",http://www.astronomerstelegram.org/?read=10444,
Supernova Sighting,4124,Supernova,2017gih,315.754311,-49.31772,,http://www.astronomerstelegram.org/?read=10676,
Supernova Sighting,4124,Supernova,2017gig,9.137252,-30.58206,,http://www.astronomerstelegram.org/?read=10676,
Supernova Sighting,4124,Supernova,2017ghw,359.394807,2.08644,,http://www.astronomerstelegram.org/?read=10676,
Supernova Sighting,4124,Supernova,2017gjp,41.998045,-22.00026,,http://www.astronomerstelegram.org/?read=10739,
Supernova Sighting,4124,Supernova,2017fym,346.8760867,3.603316667,,http://www.astronomerstelegram.org/?read=10659,
Supernova Sighting,4124,Supernova,2017gfz,3.216218,-32.73139,,http://www.astronomerstelegram.org/?read=10659,
Supernova Sighting,4124,Supernova,2017gih,315.754311,-49.31772,,http://www.astronomerstelegram.org/?read=10676,
Supernova Sighting,4124,Supernova,2017ghw,359.394807,2.08644,,http://www.astronomerstelegram.org/?read=10676,
Supernova Sighting,4124,Supernova,2017gig,9.137252,-30.58206,,http://www.astronomerstelegram.org/?read=10676,
Supernova Sighting,4124,Supernova,2017fwa,334.8091731,-28.40321303,"ElisabethB, Ghost_Sheep_SWR, Barringj, nilium, kenzielach, CThomas, Cautator, Marinxar, Sebistian123, Luisje123, malcolmf, Tmit2, MvGulik, CarlKing, Bryan-Gomez, Astro_Denny, KNoxy1827, next_ghost, TrinityTestSite, Celebrian, robert_gagliano",http://www.astronomerstelegram.org/?read=10635,
Supernova Sighting,4124,Supernova,2017fyo ,317.081741,-43.6703,,http://www.astronomerstelegram.org/?read=10657,
Supernova Hunters,2455,Supernova,2018cjn,281.5850781,70.73707235,,https://wis-tns.weizmann.ac.il/object/2018cjn,
Supernova Hunters,2455,Supernova,2018clq,257.1764207,28.52062821,,https://wis-tns.weizmann.ac.il/object/2018clq,
Supernova Hunters,2455,Supernova,2018cvb,278.5608631,32.9193344,,https://wis-tns.weizmann.ac.il/object/2018cvb,
Supernova Hunters,2455,Supernova,2018ys,157.1580428,6.172803134,,https://wis-tns.weizmann.ac.il/object/2018ys,
Supernova Hunters,2455,Supernova,2018ot,196.2447214,30.50524338,,https://wis-tns.weizmann.ac.il/object/2018ot,
Supernova Hunters,2455,Supernova,2018fy,148.3334932,-18.41925022,,https://wis-tns.weizmann.ac.il/object/2018fy,
